Date,Filename,model_type,beam_size,use_context,confidence_based,num_workers,confidence_limit,Max. chunk time,Min. chunk time,Avg. chunk time,Word Error Rate (WER),Word Information Loss (WIL),Total Transcription Time,Total GPU VRAM Usage,Total GPU Clock Speed,Peak GPU VRAM Usage,Peak GPU Clock Speed,Avg. GPU VRAM Usage,Avg. GPU Clock Speed,Total RAM Usage,Peak RAM Usage,Avg. RAM Usage,min_chunk_size,speech_threshold,avg_VADFilterTime,avg_chunkProcessTime,avg_chunkRoundTripTime,avg_frontendToBackendSendTime,avg_backendToFrontendSendTime,total_chunk_time,distance_wer,distance_wil,distance_combined,max_latency
2024-12-12 02:50:55.357,8-0.6.pkl,distil-large-v3,3,True,True,4,0.4,0.5467082666666667,0.4286646,0.4456085333333333,18.4,25.5,16.04190715154012,144676.0,56680.0,4019.0,1575.0,4018.777777777778,1574.4444444444446,133.97405751546225,3.898621877034506,3.721501597651729,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.4599231052141477,18.484895874013954,25.561325776906372,31.461246002026048,1.5
2024-12-12 02:50:55.357,8-0.6.pkl,distil-large-v3,3,True,True,4,0.4,0.5467082666666667,0.4286646,0.4456085333333333,18.4,25.5,16.04190715154012,144676.0,56680.0,4019.0,1575.0,4018.777777777778,1574.4444444444446,133.97405751546225,3.898621877034506,3.721501597651729,8,0.6,102.95,889.9752161385175,21.38935574229692,20.57382415856968,0.8155315837272409,1.4599231052141477,18.484895874013954,25.561325776906372,31.461246002026048,2.0
2024-12-11 10:26:48.431,16-0.7.pkl,distil-medium.en,5,False,True,4,0.4,0.4508129666666667,0.3108977666666666,0.3497128999999999,11.2,15.1,5.945119460423787,62331.0,26635.0,3667.0,1575.0,3666.529411764706,1566.764705882353,52.53678512573242,3.166956583658854,3.090399125043084,16,0.7,97.7800000011921,1849.4324999999253,39.38235294117647,38.471039177389706,0.9113137637867648,2.336307752942294,11.484699992444655,15.31235886192778,18.82684253931073,2.5
2024-12-11 10:26:48.431,16-0.7.pkl,distil-medium.en,5,False,True,4,0.4,0.4508129666666667,0.3108977666666666,0.3497128999999999,11.2,15.1,5.945119460423787,62331.0,26635.0,3667.0,1575.0,3666.529411764706,1566.764705882353,52.53678512573242,3.166956583658854,3.090399125043084,16,0.7,97.7800000011921,1849.4324999999253,39.38235294117647,38.471039177389706,0.9113137637867648,2.336307752942294,11.484699992444655,15.31235886192778,18.82684253931073,3.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,3.5
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,4.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,4.5
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,5.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,5.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,5.5
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,6.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,6.5
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,7.0
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,7.5
2024-12-11 20:49:54.327,24-0.6.pkl,distil-medium.en,3,False,True,1,0.6,0.3923722,0.2837251,0.3197474666666666,7.1,9.1,3.83696977297465,43716.0,18620.0,3643.0,1575.0,3643.0,1551.6666666666667,40.999314626057945,3.4831860860188804,3.416609552171495,24,0.6,99.0699999973178,2634.902752293086,56.87394957983193,55.87212160254727,1.001827977284664,3.110594168536902,7.815740277244107,9.668805307861762,11.585335558368604,8.0
